Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Spilocuscus maculatus,Diprotodontia,13.88,13.40,3127.00,0.61,0.086677888,0.867316993,Ashwell 2007; Silva & Downing 1995,
Cercartetus lepidus,Diprotodontia,0.37,0.36,7.80,1.44,0.102239807,0.849562873,Ashwell 2007; Silva & Downing 1995,
Pseudocheirus peregrinus,Diprotodontia,5.78,5.58,759.00,0.73,0.088192337,0.844576356,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dorcopsis luctuosa,Diprotodontia,21.34,20.60,7392.00,0.50,0.077429711,0.795719189,Ashwell 2007; Silva & Downing 1995,
Phalanger orientalis,Diprotodontia,8.61,8.31,1674.00,0.61,0.079733448,0.782523768,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Phalanger carmelitae,Diprotodontia,8.80,8.49,1754.00,0.60,0.079095948,0.777391383,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Distoechurus pennatus,Diprotodontia,0.97,0.94,45.40,1.01,0.087852642,0.770981803,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Wallabia bicolor,Diprotodontia,32.70,31.56,16400.00,0.42,0.071754764,0.755842789,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Phalanger ornatus,Diprotodontia,7.27,7.02,1448.00,0.57,0.073811047,0.721150254,Ashwell 2007; Silva & Downing 1995,
Petauroides volans,Diprotodontia,4.86,4.69,900.00,0.54,0.06656946,0.640880596,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cercartetus concinnus,Diprotodontia,0.31,0.30,9.50,1.03,0.075232739,0.62898006,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Neurotrichus gibbsii,Eulipotyphla,0.91,0.88,10.00,2.92,0.21326071,1.78579426,Mace 1981,
Gerbillus dasyurus,Eulipotyphla,1.32,1.27,20.50,2.48,0.196664831,1.683881963,Mace 1981,
Scalopus aquaticus,Eulipotyphla,1.48,1.43,39.60,1.70,0.145541053,1.27184631,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Scapanus townsendii,Eulipotyphla,2.02,1.95,70.00,1.52,0.138664077,1.233339315,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Condylura cristata,Eulipotyphla,1.37,1.32,50.00,1.32,0.116289353,1.023596035,Mace 1981,
Galemys pyrenaicus,Eulipotyphla,1.33,1.28,57.50,1.16,0.103364329,0.913778561,Stephan 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Desmana moschata,Eulipotyphla,4.00,3.86,440.00,0.76,0.086081695,0.810547398,Stephan 1981; Silva & Downing 1995,
Talpa europaea,Eulipotyphla,1.40,1.35,77.83,0.97,0.09009585,0.803991567,Mace 1981; Stephan 1981; Silva & Downing 1995; Warncke 1908,
Solenodon paradoxus,Eulipotyphla,4.67,4.51,900.00,0.52,0.063982222,0.615972616,Stephan 1981; Silva & Downing 1995,
Sorex trowbridgii,Eulipotyphla,0.21,0.20,5.30,1.08,0.073463342,0.603175653,Mace 1981,
Sorex arcticus,Eulipotyphla,0.27,0.26,8.20,1.00,0.071716103,0.596850392,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sorex monticolus,Eulipotyphla,0.23,0.22,6.30,1.04,0.072146191,0.595543565,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Atelerix albiventris,Eulipotyphla,2.24,2.16,280.00,0.60,0.064115164,0.595310071,Mace 1981,
Sorex cinereus,Eulipotyphla,0.17,0.16,3.90,1.10,0.072169985,0.586948757,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Erinaceus europaeus,Eulipotyphla,3.67,3.54,720.44,0.48,0.057790235,0.552535891,Mace 1981; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sorex palustris,Eulipotyphla,0.31,0.30,11.90,0.87,0.065097007,0.548054247,Mace 1981,
Surdisorex polulus,Eulipotyphla,0.40,0.39,18.60,0.81,0.06336753,0.540931479,Mace 1981,
Hemiechinus auritus,Eulipotyphla,1.90,1.83,250.00,0.55,0.058414803,0.540479998,Stephan 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sorex vagrans,Eulipotyphla,0.17,0.16,5.30,0.87,0.059470324,0.488285053,Mace 1981,
Sorex araneus,Eulipotyphla,0.23,0.22,8.90,0.79,0.056752746,0.473520237,Mace 1981; Silva & Downing 1995; Stephan 1981,
Atelerix algirus,Eulipotyphla,3.20,3.09,790.00,0.39,0.047601073,0.456419041,Stephan 1981; Silva & Downing 1995,
Neomys fodiens,Eulipotyphla,0.31,0.29,16.35,0.68,0.052413069,0.445634921,Mace 1981; Silva & Downing 1995; Stephan 1981,
Sorex fumeus,Eulipotyphla,0.21,0.20,8.90,0.73,0.05296923,0.441952221,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sorex minutus,Eulipotyphla,0.13,0.13,4.60,0.74,0.049729331,0.406516974,Mace 1981; Silva & Downing 1995; Stephan 1981,
Blarina brevicauda,Eulipotyphla,0.29,0.28,17.70,0.60,0.047200368,0.402302869,Mace 1981; Crile & Quiring 1940; Silva & Downing 1995,
Notiosorex crawfordi,Eulipotyphla,0.15,0.14,6.00,0.70,0.048522959,0.399936037,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sorex hoyi,Eulipotyphla,0.09,0.09,3.05,0.73,0.04635407,0.374129314,Mace 1981; Silva & Downing 1995; Stolzenburg 1989,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Crocidura russula,Eulipotyphla,0.19,0.18,10.45,0.59,0.043307257,0.363139806,Mace 1981; Stephan 1981; Silva & Downing 1995,
Crocidura fuscomurina,Eulipotyphla,0.13,0.13,5.60,0.64,0.043924433,0.361260573,Mace 1981,
Suncus murinus,Eulipotyphla,0.39,0.38,35.00,0.49,0.041459793,0.360922379,Mace 1981,
Sorex ornatus,Eulipotyphla,0.12,0.12,5.00,0.65,0.043551251,0.356935114,Mace 1981,
Cryptotis parva,Eulipotyphla,0.12,0.12,5.30,0.62,0.041979052,0.344671802,Mace 1981,
Suncus etruscus,Eulipotyphla,0.07,0.07,2.24,0.69,0.042768233,0.341900368,Mace 1981; Silva & Downing 1995; Stolzenburg 1989,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Procavia capensis,Hyracoidea,19.47,18.79,2321.67,1.07,0.146670015,1.454124873,Warncke 1908; Welker & Carlson 1976,
Lepus europaeus,Lagomorpha,14.35,13.85,1954.00,0.90,0.120544656,1.188740874,Mace 1981,
Sylvilagus bachmani,Lagomorpha,6.58,6.35,712.40,0.87,0.104478412,0.998577043,Mace 1981,
Lepus californicus,Lagomorpha,13.23,12.77,2314.90,0.73,0.099864116,0.989989375,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ochotona hyperborea,Lagomorpha,2.22,2.14,120.00,1.11,0.108457369,0.980921508,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lepus nigricollis,Lagomorpha,11.49,11.09,1961.00,0.72,0.096302182,0.949781056,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lepus americanus,Lagomorpha,9.72,9.38,1500.00,0.74,0.096476633,0.943629566,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lepus timidus,Lagomorpha,15.10,14.57,3274.50,0.64,0.091547415,0.917352293,Count 1947; Mace 1981; Silva & Downing 1995,
Sylvilagus floridanus,Lagomorpha,7.56,7.30,1036.00,0.76,0.094776191,0.916422984,Mace 1981,
Sylvilagus brasiliensis,Lagomorpha,4.50,4.34,439.00,0.86,0.096981045,0.913111541,Crile & Quiring 1940,
Oryctolagus cuniculus,Lagomorpha,11.09,10.71,2157.60,0.65,0.087537847,0.865903576,Mace 1981; Silva & Downing 1995; Warncke 1908,
Sylvilagus audubonii,Lagomorpha,6.07,5.86,792.50,0.75,0.090113449,0.864130151,Mace 1981,
Ochotona princeps,Lagomorpha,2.39,2.31,169.00,0.93,0.094074268,0.85991576,Mace 1981,
Lepus arcticus,Lagomorpha,15.80,15.25,4231.00,0.56,0.08151565,0.823343957,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lepus capensis,Lagomorpha,10.78,10.41,2412.50,0.58,0.079277754,0.78691604,Crile & Quiring 1940; Mace 1981; Silva & Downing 1995,
Ochotona rufescens,Lagomorpha,2.75,2.65,250.00,0.80,0.084547741,0.782273681,Mace 1981,
Rhynchocyon petersi,Macroscelidea,5.40,5.21,370.00,1.17,0.129636689,1.214123194,Sherwood/this study; Nowak 1991,
Rhynchocyon cirnei,Macroscelidea,5.90,5.69,507.50,1.01,0.116035619,1.097439061,Silva & Downing 1995; Stephan 1981; Stolzenburg 1989,
Elephantulus fuscipes,Macroscelidea,1.33,1.28,57.00,1.16,0.103935537,0.918579519,Stephan 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Zaglossus bruijni,Monotremata,37.35,36.05,7500.00,0.86,0.134263782,1.380404435,Macrini 2006,
Tachyglossus aculeatus,Monotremata,20.73,20.01,4250.00,0.73,0.106671151,1.077575257,Macrini 2006,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ornithorhynchus anatinus,Monotremata,10.08,9.73,1389.00,0.81,0.105056725,1.025104644,Macrini 2006,
Rhyncholestes raphanurus,Paucituberculata,0.67,0.65,20.00,1.29,0.101904331,0.871856772,Ashwell 2007; Silva & Downing 1995,
Peroryctes raffrayana,Peramelemorphia,6.56,6.33,977.00,0.69,0.085311869,0.823411176,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Perameles bougainville,Peramelemorphia,3.33,3.21,457.00,0.62,0.069875853,0.658726444,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Isoodon macrourus,Peramelemorphia,4.58,4.42,822.00,0.55,0.066430476,0.637747793,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Isoodon obesulus,Peramelemorphia,4.03,3.89,691.00,0.55,0.065233123,0.622891721,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macrotis lagotis,Peramelemorphia,6.81,6.57,1859.00,0.44,0.059003706,0.580961725,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Perameles gunnii,Peramelemorphia,4.66,4.50,1002.00,0.48,0.059688985,0.576556226,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Perameles nasuta,Peramelemorphia,5.14,4.96,1273.00,0.44,0.056567133,0.550470969,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Echymipera rufescens,Peramelemorphia,3.86,3.73,798.00,0.47,0.057118162,0.547843966,Ashwell 2007; Silva & Downing 1995,
Echymipera clara,Peramelemorphia,4.64,4.48,1207.00,0.42,0.052838434,0.513338028,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Equus burchellii,Perissodactyla,612.00,590.73,250000.00,1.03,0.240724745,2.75916357,Warncke 1908,
Tapirus bairdii,Perissodactyla,85.00,82.05,14260.00,1.21,0.203722484,2.136668959,Crile & Quiring 1940,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Equus asinus,Perissodactyla,434.00,418.92,234000.00,0.77,0.177985237,2.03587095,Crile & Quiring 1940; Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Homo sapiens,Primates,1250.43,1206.98,65142.86,5.72,1.149154428,12.63364989,Sherwood/this study; Nowak 1991,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ateles paniscus,Primates,108.96,105.17,3430.00,4.48,0.641750127,6.439922677,Bronson 1981; Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cebus albifrons,Primates,62.95,60.76,1620.00,4.53,0.595197665,5.835482299,Bronson 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macaca nigra,Primates,97.50,94.11,3452.00,3.99,0.571941234,5.740532418,Hrdlicka 1925,
Macaca nemestrina,Primates,110.00,106.18,4456.00,3.72,0.549259698,5.556682802,Spitzka 1903; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cebus capucinus,Primates,70.14,67.70,2104.88,4.16,0.562145138,5.556342978,Crile & Quiring 1940; Hrdlicka 1925; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macaca assamensis,Primates,90.50,87.36,3655.00,3.55,0.512077979,5.148801877,Warncke 1908,
Cebus apella,Primates,71.30,68.82,2589.00,3.62,0.501493554,4.988764701,Bronson 1981; Rilling 1999; Warncke 1908; Silva & Downing 1995,
Cebus olivaceus,Primates,72.50,69.98,2684.50,3.58,0.80248886,4.96375105,Warncke 1908; Rowe 1996,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lagothrix lagotricha,Primates,89.35,86.25,3905.00,3.34,0.484898835,4.885533148,Crile & Quiring 1940; Warncke 1908,
Macaca sinica,Primates,58.15,56.13,1970.00,3.62,0.485971711,4.793580375,Warncke 1908,
Theropithecus gelada,Primates,130.00,125.48,7710.00,2.92,0.459284193,4.726076594,Hrdlicka 1925,
Cercocebus agilis,Primates,95.30,91.99,4700.00,3.10,0.460117351,4.662557667,Sherwood/this study; Silva & Downing 1995,
Mandrillus sphinx,Primates,159.20,153.67,11500.00,2.66,0.437030941,4.553175492,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ateles geoffroyi,Primates,104.96,101.32,5774.00,2.93,0.445053045,4.538769511,Bronson 1981; Crile & Quiring 1940; Hrdlicka 1925; Stephan 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lophocebus albigena,Primates,96.80,93.44,5125.00,2.95,0.442514987,4.496235661,Stephan 1981; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pan paniscus,Primates,329.70,318.24,39700.00,2.18,0.414146222,4.483702419,Rilling 1999; Sherwood/this study; Silva & Downing 1995,
Cercopithecus cephus,Primates,76.00,73.36,3508.33,3.08,0.441290334,4.431422034,Warncke 1908; Silva & Downing 1995,
Macaca mulatta,Primates,87.99,84.94,4612.78,2.90,0.429895638,4.353779681,Bronson 1981; Crile & Quiring 1940; Hrdlicka 1925; Rilling 1999; Stephan 1981; Silva & Downing 1995,
Semnopithecus entellus,Primates,111.50,107.63,7010.00,2.69,0.418308083,4.29174675,Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cercopithecus mona,Primates,67.00,64.67,3001.00,3.05,0.429328203,4.290473617,Spitzka 1903; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macaca fascicularis,Primates,66.93,64.60,3109.45,2.96,0.419361781,4.195489425,Bronson 1981; Hrdlicka 1925; Warncke 1908; Silva & Downing 1995,
Hylobates lar,Primates,93.99,90.73,5550.00,2.70,0.408621034,4.162117842,Rilling 1999; Stephan 1981; Silva & Downing 1995,
Hylobates muelleri,Primates,95.31,92.00,5954.88,2.60,0.396346181,4.045910781,Hrdlicka 1925; Sherwood/this study; Rowe 1996,
Saimiri sciureus,Primates,23.35,22.54,578.70,3.62,0.422648902,4.013621135,Bronson 1981; Rilling 1999; Warncke 1908; Silva & Downing 1995,
Papio hamadryas,Primates,142.00,137.07,12020.00,2.29,0.379086295,3.954901706,Hrdlicka 1925,
Hylobates agilis,Primates,88.10,85.04,5528.75,2.54,0.383926209,3.910117132,Hrdlicka 1925,
Pongo pygmaeus,Primates,341.99,330.11,54229.04,1.80,0.352843763,3.857129378,Hrdlicka 1925; Rilling 1999; Sherwood/this study; Silva & Downing 1995,
Chlorocebus aethiops,Primates,64.13,61.90,3452.67,2.63,0.376164395,3.775557182,Bronson 1981; Warncke 1908,
Saimiri oerstedii,Primates,22.45,21.67,605.00,3.37,0.395182917,3.757968634,Crile & Quiring 1940,
Ateles fusciceps,Primates,113.60,109.65,9026.50,2.27,0.363341544,3.757134391,Crile & Quiring 1940,
Aotus lemurinus,Primates,113.50,109.56,9026.50,2.27,0.363021701,3.753827054,Crile & Quiring 1940,
Pan troglodytes,Primates,354.81,342.48,60433.16,1.72,0.34188511,3.749905227,Crile & Quiring 1940; Hrdlicka 1925; Rilling 1999; Sherwood/this study; Silva & Downing 1995; Stephen 1981,
Erythrocebus patas,Primates,100.20,96.72,7376.00,2.33,0.364034201,3.740806181,Stephan 1981; Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Hylobates syndactylus,Primates,134.80,130.12,12172.00,2.16,0.35702281,3.726170784,Hrdlicka 1925; Sherwood/this study; Silva & Downing 1995,
Macaca maura,Primates,94.48,91.20,6846.00,2.32,0.359789647,3.688652796,Sherwood/this study; Warncke 1908; Silva & Downing 1995,
Macaca arctoides,Primates,100.70,97.20,7630.00,2.28,0.358117831,3.68387409,Bronson 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Saimiri boliviensis,Primates,24.06,23.22,750.00,3.08,0.369829393,3.540371983,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pithecia monachus,Primates,35.00,33.78,1500.00,2.67,0.347395284,3.397843088,Stephan 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Gorilla gorilla,Primates,454.55,438.75,120975.00,1.31,0.28266379,3.167774905,Hrdlicka 1925; Stephan 1981; Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Trachypithecus francoisi,Primates,94.40,91.12,9100.00,1.88,0.300390597,3.106970926,Sherwood/this study; Silva & Downing 1995,
Cercopithecus mitis,Primates,75.00,72.39,6300.00,1.96,0.300986374,3.077846552,Stephan 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Eulemur rubriventer,Primates,24.90,24.03,1015.00,2.54,0.316219562,3.055693231,Warncke 1908,
Alouatta seniculus,Primates,45.50,43.92,2827.50,2.16,0.30272327,3.019672604,Hrdlicka 1925,
Daubentonia madagascariensis,Primates,45.15,43.58,2800.00,2.16,0.302252913,3.014067445,Stephan 1981; Silva & Downing 1995,
Procolobus badius,Primates,78.00,75.29,7000.00,1.89,0.29289179,3.004870839,Stephan 1981; Silva & Downing 1995,
Pygathrix nemaeus,Primates,77.00,74.32,7500.00,1.77,0.276819402,2.846059646,Stephan 1981; Silva & Downing 1995,
Colobus guereza,Primates,83.90,80.98,10281.25,1.52,0.247189742,2.566400548,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macaca sylvanus,Primates,87.70,84.65,11200.00,1.49,0.244800601,2.548348443,Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Callicebus moloch,Primates,19.00,18.34,900.00,2.12,0.260313107,2.506098437,Stephan 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Aotus trivirgatus,Primates,16.04,15.48,701.68,2.16,0.257134323,2.456467007,Warncke 1908; Bronson 1981; Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Leontopithecus rosalia,Primates,13.05,12.60,512.38,2.22,0.25511147,2.413502668,Sherwood/this study; Warncke 1908; Silva & Downing 1995,
Alouatta caraya,Primates,50.70,48.94,5012.50,1.57,0.235040716,2.386521539,Sherwood/this study; Warncke 1908; Silva & Downing 1995,
Colobus angolensis,Primates,74.40,71.81,9670.00,1.41,0.227844363,2.361060314,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Saguinus oedipus,Primates,9.64,9.31,327.14,2.29,0.250193409,2.334281874,"Bronson 1981; Rowe 1996; Sherwood/this study, Stephan 1981; Silva & Downing 1995; Warncke 1908",
Saguinus geoffroyi,Primates,14.27,13.78,634.67,2.07,0.243774647,2.321603367,Crile & Quiring 1940; Hrdlicka 1925; Rowe 1996; Sherwood/this study ,
Eulemur mongoz,Primates,24.03,23.20,1559.33,1.78,0.232776419,2.279505596,Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Varecia variegata,Primates,31.20,30.12,2705.50,1.53,0.213440022,2.126160774,Hrdlicka 1925; Stephan 1981; Silva & Downing 1995,
Alouatta palliata,Primates,50.04,48.30,5952.00,1.37,0.208128263,2.124546207,Crile & Quiring 1940,
Nycticebus coucang,Primates,12.74,12.30,655.50,1.80,0.213239045,2.03282997,Sherwood/this study; Silva & Downing 1995; Stephan 1981; Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Callithrix pygmaea,Primates,4.64,4.48,134.75,2.14,0.210695269,1.912452893,Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Galagoides demidoff,Primates,3.38,3.26,81.00,2.28,0.211608014,1.89066994,Stephan 1981; Silva & Downing 1995,
Callithrix jacchus,Primates,7.73,7.46,347.45,1.76,0.19312765,1.80523134,Hrdlicka 1925; Spitzka 1903; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Eulemur macaco,Primates,22.60,21.81,2086.17,1.35,0.182166569,1.80006865,Hrdlicka 1925; Warncke 1908,
Lemur catta,Primates,21.63,20.88,2090.00,1.29,0.174172905,1.721177661,Sherwood/this study; Warncke 1908; Silva & Downing 1995,
Indri indri,Primates,38.30,36.97,6250.00,1.01,0.154478464,1.579286031,Stephan 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Propithecus verreauxi,Primates,26.70,25.77,3480.00,1.09,0.155827541,1.56442139,Stephan 1981; Silva & Downing 1995,
Perodicticus potto,Primates,12.07,11.65,929.33,1.32,0.162009525,1.561257139,Sherwood/this study; Silva & Downing 1995; Stephan 1981; Warncke 1908,
Tarsius bancanus,Primates,2.70,2.61,77.60,1.88,0.173672268,1.549661208,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Galago senegalensis,Primates,5.90,5.69,300.33,1.49,0.161567364,1.503418604,Crile & Quiring 1940; Stephan 1981; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Nycticebus pygmaeus,Primates,7.80,7.53,480.00,1.39,0.158891564,1.500167977,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Loris tardigradus,Primates,6.00,5.79,322.00,1.44,0.157240224,1.466316622,Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Cheirogaleus major,Primates,6.80,6.56,450.00,1.27,0.144278386,1.359475655,Stephan 1981; Silva & Downing 1995,
Microcebus murinus,Primates,1.84,1.78,58.00,1.59,0.14222116,1.257624697,Stephan 1981; Warncke 1908; Silva & Downing 1995,
Cheirogaleus medius,Primates,3.34,3.23,179.67,1.24,0.126613536,1.159549258,Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Avahi laniger,Primates,10.49,10.13,1285.00,0.90,0.114796084,1.11743853,Stephan 1981; Silva & Downing 1995,
Elephas maximus,Proboscidea,5211.25,5030.16,2765457.50,1.46,0.449838267,5.554842445,Shoshani 2006; Tower 1954; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Loxodonta africana,Proboscidea,5436.40,5247.49,4301340.00,1.09,0.355121431,4.445689945,Crile & Quiring 1940; Robertson-Bullock 1962; Shoshani 2006; Silva & Downing 1995,
Rattus norvegicus,Rodentia,8.03,7.75,359.50,1.78,0.196186219,1.83575929,Warncke 1908,
Callosciurus caniceps,Rodentia,6.02,5.81,240.00,1.80,0.189912109,1.754929913,Mace 1981,
Agouti paca,Rodentia,35.22,33.99,4607.00,1.16,0.17218718,1.743762564,Crile & Quiring 1940; Warncke 1908,
Tamiops macclellandi,Rodentia,1.95,1.88,39.00,2.26,0.193616472,1.691164593,Mace 1981,
Xerus inauris,Rodentia,7.65,7.38,400.00,1.56,0.174836071,1.641403937,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dremomys rufigenis,Rodentia,5.41,5.22,240.00,1.62,0.170668523,1.577104789,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Callosciurus notatus,Rodentia,4.91,4.74,209.50,1.63,0.168765562,1.552962991,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Marmota sibirica,Rodentia,18.10,17.47,1890.00,1.16,0.155274677,1.529648069,Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tscherskia triton,Rodentia,1.29,1.25,25.00,2.09,0.169573906,1.46088401,Mace 1981,
Sciurus niger,Rodentia,7.91,7.64,516.32,1.34,0.15391727,1.456492743,Count 1947; Mace 1981; Silva & Downing 1995; Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Callosciurus nigrovittatus,Rodentia,4.44,4.29,202.00,1.51,0.156162127,1.435364427,Mace 1981,
Sciurus vulgaris,Rodentia,5.93,5.72,327.40,1.41,0.153653752,1.433610522,Count 1947; Mace 1981; Silva & Downing 1995,
Funisciurus pyrropus,Rodentia,4.38,4.23,200.00,1.50,0.155022109,1.424446503,Mace 1981,
Ammospermophilus nelsoni,Rodentia,2.31,2.23,70.00,1.73,0.158571296,1.41040288,Mace 1981,
Heliosciurus ruwenzorii,Rodentia,5.40,5.21,291.00,1.40,0.150850496,1.402322805,Mace 1981,
Dasyprocta leporina,Rodentia,21.26,20.52,2873.00,1.00,0.140030597,1.397500317,Count 1947; Mace 1981; Spitzka 1903; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Heliosciurus rufobrachium,Rodentia,5.75,5.55,326.00,1.37,0.149519211,1.394849384,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sciurus carolinensis,Rodentia,7.41,7.15,503.17,1.28,0.146523567,1.385418941,Count 1947; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Atherurus africanus,Rodentia,21.89,21.12,3152.50,0.96,0.13594544,1.360640909,Mace 1981; Warncke 1908; Silva & Downing 1995,
